state,rainfall_mm,temperature_avg,humidity_avg,soil_ph,N_kgha,P_kgha,K_kgha,soil_type,climate_zone,major_crops
Andhra Pradesh,930,29,70,6.8,78,40,45,Red Laterite,Tropical,"rice,maize,cotton,groundnut,sugarcane"
Arunachal Pradesh,2800,18,80,5.2,55,30,35,Mountain,Subtropical Alpine,"rice,maize,millet,ginger,cardamom"
Assam,2400,25,82,5.5,70,35,40,Alluvial,Subtropical Humid,"rice,jute,tea,mustard,potato"
Bihar,1100,26,65,7.0,85,48,50,Alluvial,Subtropical,"rice,wheat,maize,lentil,mustard"
Chhattisgarh,1350,28,72,6.2,75,40,44,Red Laterite,Tropical,"rice,maize,soybean,groundnut,lentil"
Goa,2800,27,88,5.8,62,35,40,Laterite,Tropical Humid,"rice,cashew,coconut,sugarcane,vegetables"
Gujarat,720,28,55,7.5,85,45,48,Black Vertisol,Semi-Arid,"cotton,groundnut,wheat,sugarcane,castor"
Haryana,600,23,55,7.5,90,52,50,Alluvial,Semi-Arid,"wheat,rice,sugarcane,cotton,mustard"
Himachal Pradesh,1400,17,72,6.2,60,38,48,Mountain,Temperate,"maize,wheat,potato,apple,ginger"
Jharkhand,1200,26,70,5.8,68,38,42,Red Laterite,Subtropical,"rice,maize,wheat,lentil,mustard"
Karnataka,1150,26,70,6.2,70,38,44,Red Laterite,Tropical Semi-Arid,"rice,maize,sunflower,ragi,cotton"
Kerala,2900,27,84,5.8,65,35,42,Laterite,Tropical Humid,"rice,coconut,banana,rubber,spices"
Madhya Pradesh,1050,27,58,6.8,90,50,52,Black Vertisol,Semi-Arid,"soybean,wheat,rice,cotton,sugarcane"
Maharashtra,720,26,64,6.5,89,42,43,Black Vertisol,Semi-Arid,"rice,wheat,cotton,sugarcane,soybean,orange,grapes"
Manipur,1500,22,78,5.5,65,35,40,Alluvial,Subtropical,"rice,maize,potato,vegetables,ginger"
Meghalaya,2818,18,85,5.2,60,32,38,Laterite,Subtropical Humid,"rice,maize,potato,ginger,turmeric"
Mizoram,2100,21,80,5.2,58,32,38,Red Laterite,Subtropical,"rice,maize,potato,ginger,banana"
Nagaland,1980,19,78,5.0,60,32,38,Sandy Loam,Subtropical,"rice,maize,potato,ginger,cotton"
Odisha,1450,27,74,6.0,75,40,42,Red Laterite,Tropical,"rice,maize,groundnut,sugarcane,pulses"
Punjab,649,22,60,7.2,95,55,50,Alluvial,Semi-Arid,"wheat,rice,maize,sugarcane,cotton"
Rajasthan,313,28,40,7.8,72,38,40,Sandy Desert,Arid,"wheat,mustard,bajra,groundnut,cumin"
Sikkim,3200,15,82,4.8,55,30,35,Mountain,Temperate Alpine,"rice,maize,cardamom,ginger,vegetables"
Tamil Nadu,945,29,72,6.5,80,42,46,Red Laterite,Tropical,"rice,sugarcane,maize,groundnut,cotton"
Telangana,900,30,67,6.5,75,38,42,Red Laterite,Tropical,"rice,maize,cotton,groundnut,sugarcane"
Tripura,2100,25,78,5.8,68,38,42,Alluvial,Tropical,"rice,maize,jute,potato,vegetables"
Uttar Pradesh,850,24,62,7.5,88,48,52,Alluvial,Subtropical,"wheat,rice,sugarcane,potato,mustard"
Uttarakhand,1400,19,72,6.0,65,40,45,Mountain,Temperate,"wheat,rice,soybean,potato,ginger"
West Bengal,1600,26,78,6.2,82,45,48,Alluvial,Subtropical Humid,"rice,jute,wheat,potato,vegetables"
Delhi,640,25,57,7.2,80,45,48,Alluvial,Semi-Arid,"wheat,mustard,vegetables,rice"
Jammu and Kashmir,1100,14,60,6.5,70,42,48,Mountain,Temperate,"wheat,maize,rice,saffron,vegetables"
Ladakh,90,5,30,7.5,40,20,25,Mountain Sandy,Cold Desert,"barley,peas,buckwheat"
Puducherry,1400,29,74,6.5,78,42,45,Alluvial,Tropical,"rice,sugarcane,coconut,groundnut,cotton"